text,time_morning,time_noon,time_afternoon,time_evening,time_late_night,time_weekday,time_weekend,time_busy,time_relaxed,time_quick_meal,weather_hot,weather_cold,weather_rainy,weather_sunny,weather_humid,weather_dry,weather_windy,weather_stormy,weather_cloudy,weather_mild,mood_happy,mood_sad,mood_stressed,mood_excited,mood_tired,mood_energetic,mood_adventurous,mood_lazy,mood_social,mood_comfort_seek
"Dem nay toi luoi nau an, cho mon don gian",0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"Toi muon an sang am bung truoc khi di hoc",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Buoi chieu dep troi, toi muon an ngoai",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0
"Toi rat doi va can bua toi day nang luong",0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"Hom nay am u va gio lon, can mon nong",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"Toi can mon de chia se voi nhom ban",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
"Trua nay ban, cho toi mon de mang di",0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Toi dang buon va can chut am ap",0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"Toi co nhieu nang luong va muon mon dam da",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
"Toi nay toi muon bua nhe, de de ngu",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"Sang som troi mat, toi thich mon thanh dam",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Mua lon qua, toi chi muon sup nong",0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"Cuoi tuan roi, toi muon thu mon la",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
"Toi can mon an de giai toa stress sau gio lam",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
"Dem khuya do bung, cho mon nhe nhang",0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"Buoi trua nang dep, toi muon an cung dong nghiep",0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"Toi dang luoi va muon mon nao an lien",0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"Toi muon bua toi am cung, tam trang tot",0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
"Sang dau tuan, can mon nhanh de vao nhiep",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Troi kho va nong, toi muon mon nuoc nhieu rau",0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
