text,tags
Thích lẩu chay,pref_vegetarian|pref_soup|pref_bbq_hotpot
Muốn gỏi chay,pref_vegetarian|pref_raw|pref_sour
Chay tối thanh mát,pref_vegetarian|time_evening|pref_herbal
Thích meal prep,pref_convenient|pref_rice
Muốn snack bỏ túi,pref_convenient|time_snacks|pref_dry
Tiện lợi mưa không ra,pref_convenient|weather_rain|pref_instant
Thích spring roll giòn,pref_finger_food|pref_crunchy|time_snacks
Muốn đồ nhúm tương,pref_finger_food|pref_spicy|mood_gathering
Lai rai chiều nay,pref_finger_food|time_afternoon|time_snacks
Thích cà phê sữa,pref_caffeine|pref_milky|time_morning
Muốn trà olong,pref_caffeine|pref_tea_base|time_afternoon
Caffein tỉnh buổi sáng,pref_caffeine|time_morning|mood_sluggish
Thích milkshake,pref_milky|pref_sweet|pref_fruity
Muốn bánh sữa,pref_milky|pref_sweet|pref_soft
Béo sữa tụ bạn,pref_milky|mood_gathering|pref_tea_base
Thích mojito trái cây,pref_fruity|pref_fizzy|pref_cold
Muốn sorbet trái cây,pref_fruity|pref_cold|pref_sweet
Trái cây tối nhẹ,pref_fruity|time_evening|pref_cold
Thích hojicha,pref_tea_base|pref_warm_drink|time_night
Muốn trà trái cây,pref_tea_base|pref_fruity|pref_cold
Cốt trà buôn chuyện,pref_tea_base|mood_gossip|time_afternoon
Thích kombucha ga,pref_fizzy|pref_herbal|pref_cold
Muốn cocktail ga,pref_fizzy|mood_gathering|pref_fruity
Có ga trưa nóng,pref_fizzy|weather_hot|pref_cold
Thích nước ấm chanh mật,pref_warm_drink|pref_herbal|mood_sick
Muốn cafe nóng,pref_warm_drink|pref_caffeine|time_morning
Uống ấm tối lạnh,pref_warm_drink|time_evening|weather_cold
Thích trà hoa cúc,pref_herbal|pref_tea_base|pref_warm_drink
Muốn đồ thanh nhiệt trưa nóng,pref_herbal|weather_hot|pref_cold
Thảo mộc tối nhẹ,pref_herbal|time_evening|pref_bland
